series_id,obs_date,value
portwatch.hormuz.n_tanker,2022-04-28,54.0
portwatch.hormuz.n_tanker,2022-04-29,62.0
portwatch.hormuz.n_tanker,2022-04-30,54.0
portwatch.hormuz.n_tanker,2022-05-01,60.0
portwatch.hormuz.n_tanker,2022-05-02,53.0
portwatch.hormuz.n_tanker,2022-05-03,66.0
portwatch.hormuz.n_tanker,2022-05-04,59.0
portwatch.hormuz.n_tanker,2022-05-05,69.0
portwatch.hormuz.n_tanker,2022-05-06,61.0
portwatch.hormuz.n_tanker,2022-05-07,66.0
portwatch.hormuz.n_tanker,2022-05-08,57.0
portwatch.hormuz.n_tanker,2022-05-09,61.0
portwatch.hormuz.n_tanker,2022-05-10,45.0
portwatch.hormuz.n_tanker,2022-05-11,65.0
portwatch.hormuz.n_tanker,2022-05-12,60.0
portwatch.hormuz.n_tanker,2022-05-13,32.0
portwatch.hormuz.n_tanker,2022-05-14,59.0
portwatch.hormuz.n_tanker,2022-05-15,46.0
portwatch.hormuz.n_tanker,2022-05-16,58.0
portwatch.hormuz.n_tanker,2022-05-17,62.0
portwatch.hormuz.n_tanker,2022-05-18,62.0
portwatch.hormuz.n_tanker,2022-05-19,60.0
portwatch.hormuz.n_tanker,2022-05-20,59.0
portwatch.hormuz.n_tanker,2022-05-21,59.0
portwatch.hormuz.n_tanker,2022-05-22,66.0
portwatch.hormuz.n_tanker,2022-05-23,62.0
portwatch.hormuz.n_tanker,2022-05-24,60.0
portwatch.hormuz.n_tanker,2022-05-25,52.0
portwatch.hormuz.n_tanker,2022-05-26,58.0
portwatch.hormuz.n_tanker,2022-05-27,70.0
portwatch.hormuz.n_tanker,2022-05-28,66.0
portwatch.hormuz.n_tanker,2022-05-29,62.0
portwatch.hormuz.n_tanker,2022-05-30,64.0
portwatch.hormuz.n_tanker,2022-05-31,65.0
portwatch.hormuz.n_tanker,2022-06-01,61.0
portwatch.hormuz.n_tanker,2022-06-02,71.0
portwatch.hormuz.n_tanker,2022-06-03,62.0
portwatch.hormuz.n_tanker,2022-06-04,48.0
portwatch.hormuz.n_tanker,2022-06-05,61.0
portwatch.hormuz.n_tanker,2022-06-06,67.0
portwatch.hormuz.n_tanker,2022-06-07,64.0
portwatch.hormuz.n_tanker,2022-06-08,64.0
portwatch.hormuz.n_tanker,2022-06-09,62.0
portwatch.hormuz.n_tanker,2022-06-10,79.0
portwatch.hormuz.n_tanker,2022-06-11,52.0
portwatch.hormuz.n_tanker,2022-06-12,60.0
portwatch.hormuz.n_tanker,2022-06-13,41.0
portwatch.hormuz.n_tanker,2022-06-14,68.0
portwatch.hormuz.n_tanker,2022-06-15,68.0
portwatch.hormuz.n_tanker,2022-06-16,69.0
portwatch.hormuz.n_tanker,2022-06-17,60.0
portwatch.hormuz.n_tanker,2022-06-18,52.0
portwatch.hormuz.n_tanker,2022-06-19,68.0
portwatch.hormuz.n_tanker,2022-06-20,56.0
portwatch.hormuz.n_tanker,2022-06-21,48.0
portwatch.hormuz.n_tanker,2022-06-22,63.0
portwatch.hormuz.n_tanker,2022-06-23,47.0
portwatch.hormuz.n_tanker,2022-06-24,50.0
portwatch.hormuz.n_tanker,2022-06-25,68.0
portwatch.hormuz.n_tanker,2022-06-26,63.0
portwatch.hormuz.n_tanker,2022-06-27,72.0
portwatch.hormuz.n_tanker,2022-06-28,54.0
portwatch.hormuz.n_tanker,2022-06-29,57.0
portwatch.hormuz.n_tanker,2022-06-30,74.0
portwatch.hormuz.n_tanker,2022-07-01,55.0
portwatch.hormuz.n_tanker,2022-07-02,55.0
portwatch.hormuz.n_tanker,2022-07-03,59.0
portwatch.hormuz.n_tanker,2022-07-04,71.0
portwatch.hormuz.n_tanker,2022-07-05,58.0
portwatch.hormuz.n_tanker,2022-07-06,57.0
portwatch.hormuz.n_tanker,2022-07-07,50.0
portwatch.hormuz.n_tanker,2022-07-08,66.0
portwatch.hormuz.n_tanker,2022-07-09,55.0
portwatch.hormuz.n_tanker,2022-07-10,55.0
portwatch.hormuz.n_tanker,2022-07-11,56.0
portwatch.hormuz.n_tanker,2022-07-12,48.0
portwatch.hormuz.n_tanker,2022-07-13,48.0
portwatch.hormuz.n_tanker,2022-07-14,78.0
portwatch.hormuz.n_tanker,2022-07-15,76.0
portwatch.hormuz.n_tanker,2022-07-16,55.0
portwatch.hormuz.n_tanker,2022-07-17,61.0
portwatch.hormuz.n_tanker,2022-07-18,66.0
portwatch.hormuz.n_tanker,2022-07-19,47.0
portwatch.hormuz.n_tanker,2022-07-20,61.0
portwatch.hormuz.n_tanker,2022-07-21,72.0
portwatch.hormuz.n_tanker,2022-07-22,58.0
portwatch.hormuz.n_tanker,2022-07-23,57.0
portwatch.hormuz.n_tanker,2022-07-24,64.0
portwatch.hormuz.n_tanker,2022-07-25,62.0
portwatch.hormuz.n_tanker,2022-07-26,64.0
portwatch.hormuz.n_tanker,2022-07-27,62.0
portwatch.hormuz.n_tanker,2022-07-28,49.0
portwatch.hormuz.n_tanker,2022-07-29,46.0
portwatch.hormuz.n_tanker,2022-07-30,64.0
portwatch.hormuz.n_tanker,2022-07-31,60.0
portwatch.hormuz.n_tanker,2022-08-01,55.0
portwatch.hormuz.n_tanker,2022-08-02,50.0
portwatch.hormuz.n_tanker,2022-08-03,61.0
portwatch.hormuz.n_tanker,2022-08-04,58.0
portwatch.hormuz.n_tanker,2022-08-05,71.0
portwatch.hormuz.n_tanker,2022-08-06,61.0
portwatch.hormuz.n_tanker,2022-08-07,65.0
portwatch.hormuz.n_tanker,2022-08-08,53.0
portwatch.hormuz.n_tanker,2022-08-09,49.0
portwatch.hormuz.n_tanker,2022-08-10,72.0
portwatch.hormuz.n_tanker,2022-08-11,67.0
portwatch.hormuz.n_tanker,2022-08-12,66.0
portwatch.hormuz.n_tanker,2022-08-13,59.0
portwatch.hormuz.n_tanker,2022-08-14,54.0
portwatch.hormuz.n_tanker,2022-08-15,62.0
portwatch.hormuz.n_tanker,2022-08-16,63.0
portwatch.hormuz.n_tanker,2022-08-17,72.0
portwatch.hormuz.n_tanker,2022-08-18,65.0
portwatch.hormuz.n_tanker,2022-08-19,72.0
portwatch.hormuz.n_tanker,2022-08-20,66.0
portwatch.hormuz.n_tanker,2022-08-21,55.0
portwatch.hormuz.n_tanker,2022-08-22,54.0
portwatch.hormuz.n_tanker,2022-08-23,65.0
portwatch.hormuz.n_tanker,2022-08-24,62.0
portwatch.hormuz.n_tanker,2022-08-25,68.0
portwatch.hormuz.n_tanker,2022-08-26,61.0
portwatch.hormuz.n_tanker,2022-08-27,62.0
portwatch.hormuz.n_tanker,2022-08-28,70.0
portwatch.hormuz.n_tanker,2022-08-29,61.0
portwatch.hormuz.n_tanker,2022-08-30,58.0
portwatch.hormuz.n_tanker,2022-08-31,63.0
portwatch.hormuz.n_tanker,2022-09-01,68.0
portwatch.hormuz.n_tanker,2022-09-02,65.0
portwatch.hormuz.n_tanker,2022-09-03,64.0
portwatch.hormuz.n_tanker,2022-09-04,63.0
portwatch.hormuz.n_tanker,2022-09-05,63.0
portwatch.hormuz.n_tanker,2022-09-06,51.0
portwatch.hormuz.n_tanker,2022-09-07,45.0
portwatch.hormuz.n_tanker,2022-09-08,52.0
portwatch.hormuz.n_tanker,2022-09-09,56.0
portwatch.hormuz.n_tanker,2022-09-10,71.0
portwatch.hormuz.n_tanker,2022-09-11,72.0
portwatch.hormuz.n_tanker,2022-09-12,68.0
portwatch.hormuz.n_tanker,2022-09-13,60.0
portwatch.hormuz.n_tanker,2022-09-14,55.0
portwatch.hormuz.n_tanker,2022-09-15,70.0
portwatch.hormuz.n_tanker,2022-09-16,69.0
portwatch.hormuz.n_tanker,2022-09-17,57.0
portwatch.hormuz.n_tanker,2022-09-18,46.0
portwatch.hormuz.n_tanker,2022-09-19,45.0
portwatch.hormuz.n_tanker,2022-09-20,60.0
