source,source_id,event_date,inside_big_move,episode_id,monthly_move_pct,wti_chg_3m_pct
Dyadic MID 4.03,disno 3443,1985-06-13,False,,,4.22
Dyadic MID 4.03,disno 2545,1985-07-10,False,,,8.08
ICB v16,crisno 357,1985-11-19,True,wti_1985-11-01,-62.4,-49.88
ICB v16,crisno 358,1985-11-23,True,wti_1985-11-01,-62.4,-49.88
Dyadic MID 4.03,disno 2102,1985-12-01,True,wti_1985-11-01,-62.4,-53.66
COW War v4.1 intra-state,WarNum 842,1986-01-13,True,wti_1985-11-01,-62.4,-44.01
Dyadic MID 4.03,disno 2578,1986-01-13,True,wti_1985-11-01,-62.4,-44.01
Dyadic MID 4.03,disno 3636,1986-01-13,True,wti_1985-11-01,-62.4,-44.01
Dyadic MID 4.03,disno 2591,1986-02-04,True,wti_1985-11-01,-62.4,0.01
ICB v16,crisno 361,1986-02-09,True,wti_1985-11-01,-62.4,0.01
ICB v16,crisno 362,1986-02-10,True,wti_1985-11-01,-62.4,0.01
Dyadic MID 4.03,disno 3635,1986-02-15,True,wti_1985-11-01,-62.4,0.01
Dyadic MID 4.03,disno 2575,1986-03-02,True,wti_1985-11-01,-62.4,6.74
ICB v16,crisno 363,1986-03-24,True,wti_1985-11-01,-62.4,6.74
Dyadic MID 4.03,disno 2574,1986-04-06,True,wti_1985-11-01,-62.4,-9.9
Dyadic MID 4.03,disno 2572,1986-04-26,True,wti_1985-11-01,-62.4,-9.9
ICB v16,crisno 364,1986-04-26,True,wti_1985-11-01,-62.4,-9.9
Dyadic MID 4.03,disno 2579,1986-05-28,True,wti_1985-11-01,-62.4,-2.28
Dyadic MID 4.03,disno 2718,1986-07-12,False,,,28.31
Dyadic MID 4.03,disno 2565,1986-08-26,False,,,0.76
Dyadic MID 4.03,disno 2588,1986-09-03,False,,,7.8
Dyadic MID 4.03,disno 2596,1986-09-23,False,,,7.8
Dyadic MID 4.03,disno 3628,1986-10-01,False,,,25.61
Dyadic MID 4.03,disno 2644,1986-10-14,False,,,25.61
Dyadic MID 4.03,disno 2594,1986-10-22,False,,,25.61
Dyadic MID 4.03,disno 2315,1986-10-26,False,,,25.61
