rank,tier,date,actors,label,n_records,families,multi_source,producer,transit,severity_why,via_amendment_1,records,route_predicted,route_tested
24,A,1964-12-03,Egypt / Saudi Arabia / United States / Yemen Arab Republic,YEMEN WAR III / hihost 4 (use of force),2,ICB+MID,1,1,1,ICB viol 4; MID hihost 4,0,ICB v16|crisno 212 ; Dyadic MID 4.03|disno 2906,,
25,A,1965-02-07,South Korea / United States,"PLEIKU / Vietnam War, Phase 2",2,COW+ICB,1,1,0,COW inter-state war; ICB viol 3,0,COW War v4.0 inter-state|WarNum 163 ; ICB v16|crisno 213,,
26,A,1965-04-09,China / United States,DOMINICAN INTERVENTN. / Dominican Republic / hihost 4 (use of force),3,COW+ICB+MID,1,1,0,"COW intra-state war, producer state party (Amendment 1); MID hihost 4",0,Dyadic MID 4.03|disno 2929 ; ICB v16|crisno 215 ; COW War v4.1 intra-state|WarNum 766,,
27,A,1966-09-17,Egypt / Israel / Jordan / Saudi Arabia / Syria / Yemen Arab Republic,YEMEN WAR IV / hihost 4 (use of force),2,ICB+MID,1,1,1,ICB viol 4; MID hihost 4,0,Dyadic MID 4.03|disno 3412 ; ICB v16|crisno 219,,
28,A,1967-04-28,Egypt / Israel / Japan / Jordan / South Korea / Syria,SIX DAY WAR / Six Day War / hihost 4 (use of force),7,COW+ICB+MID,1,1,1,COW inter-state war; ICB viol 4; MID hihost 4; MID hihost 5,0,Dyadic MID 4.03|disno 2933 ; Dyadic MID 4.03|disno 2930 ; ICB v16|crisno 222 ; COW War v4.0 inter-state|WarNum 169 ; Dyadic MID 4.03|disno 3446 ; Dyadic MID 4.03|disno 1480 ; Dyadic MID 4.03|disno 1067,,
29,A,1967-07-17,China / India / USSR/Russia,Cultural Revolution Phase 2 / hihost 4 (use of force),4,COW+MID,1,1,0,"COW intra-state war, producer state party (Amendment 1); MID hihost 4",0,Dyadic MID 4.03|disno 2097 ; Dyadic MID 4.03|disno 2710 ; COW War v4.1 intra-state|WarNum 776 ; Dyadic MID 4.03|disno 2935,,
30,A,1968-01-13,South Korea / United States,"PUEBLO / Second Laotian, Phase 2 / TET OFFENSIVE",3,COW+ICB,1,1,0,COW inter-state war; ICB viol 4,0,COW War v4.0 inter-state|WarNum 170 ; ICB v16|crisno 224 ; ICB v16|crisno 225,,
31,A,1968-04-09,Brazil / USSR/Russia,PRAGUE SPRING / hihost 4 (use of force),2,ICB+MID,1,1,0,MID hihost 4,0,ICB v16|crisno 227 ; Dyadic MID 4.03|disno 2923,,
32,A,1969-02-14,United States,VIETNAM SPRING OFF. / hihost 4 (use of force),2,ICB+MID,1,1,0,ICB viol 3; MID hihost 4,0,Dyadic MID 4.03|disno 350 ; ICB v16|crisno 230,,
33,A,1969-03-02,China / Egypt / Israel / USSR/Russia,USSURI RIVER / WAR OF ATTRITION / War of Attrition,4,COW+ICB+MID,1,1,1,COW inter-state war; ICB viol 3; ICB viol 4; MID hihost 4,0,Dyadic MID 4.03|disno 349 ; ICB v16|crisno 231 ; COW War v4.0 inter-state|WarNum 172 ; ICB v16|crisno 232,,
